"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"316","899_655",655,899,104.6988677,31.4952719,104.7646589,31.4740551,20
"317","899_719",719,899,104.6988677,31.4952719,104.7383672,31.4803948,14
"318","899_726",726,899,104.6988677,31.4952719,104.7690864,31.4805528,11
"319","899_786",786,899,104.6988677,31.4952719,104.7676795,31.486188,14
"320","899_821",821,899,104.6988677,31.4952719,104.7620381,31.4882639,30
"321","899_899",899,899,104.6988677,31.4952719,104.6988677,31.4952719,11
"322","899_927",927,899,104.6988677,31.4952719,104.7735466,31.4981568,71
"323","899_971",971,899,104.6988677,31.4952719,104.772232,31.5061283,14
"324","915_199",199,915,104.7343212,31.4966375,104.7601253,31.4498679,11
"325","915_291",291,915,104.7343212,31.4966375,104.7321556,31.4547659,20
"326","915_408",408,915,104.7343212,31.4966375,104.7531982,31.4604576,11
"327","915_523",523,915,104.7343212,31.4966375,104.7723748,31.4656126,19
"328","915_67",67,915,104.7343212,31.4966375,104.7722805,31.4250537,14
"329","915_915",915,915,104.7343212,31.4966375,104.7343212,31.4966375,29
"330","915_927",927,915,104.7343212,31.4966375,104.7735466,31.4981568,21
"331","915_938",938,915,104.7343212,31.4966375,104.7328988,31.50017,11
"332","926_199",199,926,104.737321,31.4976079,104.7601253,31.4498679,13
"333","926_291",291,926,104.737321,31.4976079,104.7321556,31.4547659,31
"334","926_317",317,926,104.737321,31.4976079,104.7292506,31.456155,11
"335","926_408",408,926,104.737321,31.4976079,104.7531982,31.4604576,13
"336","926_440",440,926,104.737321,31.4976079,104.7220286,31.4615387,20
"337","926_523",523,926,104.737321,31.4976079,104.7723748,31.4656126,18
"338","926_653",653,926,104.737321,31.4976079,104.6860951,31.4738378,19
"339","926_67",67,926,104.737321,31.4976079,104.7722805,31.4250537,20
"340","926_736",736,926,104.737321,31.4976079,104.7301857,31.4812084,13
"341","926_926",926,926,104.737321,31.4976079,104.737321,31.4976079,27
"342","926_927",927,926,104.737321,31.4976079,104.7735466,31.4981568,23
"343","927_135",135,927,104.7735466,31.4981568,104.7654496,31.4413548,16
"344","927_199",199,927,104.7735466,31.4981568,104.7601253,31.4498679,12
"345","927_260",260,927,104.7735466,31.4981568,104.7575349,31.4534645,20
"346","927_291",291,927,104.7735466,31.4981568,104.7321556,31.4547659,24
"347","927_440",440,927,104.7735466,31.4981568,104.7220286,31.4615387,16
"348","927_516",516,927,104.7735466,31.4981568,104.7406819,31.4655495,17
"349","927_523",523,927,104.7735466,31.4981568,104.7723748,31.4656126,11
"350","927_56",56,927,104.7735466,31.4981568,104.7634654,31.4220348,20
"351","927_596",596,927,104.7735466,31.4981568,104.747951,31.470652,12
"352","927_617",617,927,104.7735466,31.4981568,104.7581004,31.4710907,11
"353","927_653",653,927,104.7735466,31.4981568,104.6860951,31.4738378,17
"354","927_67",67,927,104.7735466,31.4981568,104.7722805,31.4250537,14
